"","id","x","y"
"600",600,339143.0255,8119024.887
"601",601,339143.9649,8119023.947
"602",602,339143.9649,8119023.947
"603",603,339144.9043,8119023.008
"604",604,339144.9043,8119023.008
"605",605,339145.8436,8119022.068
"606",606,339145.8436,8119022.068
"607",607,339146.783,8119021.129
"608",608,339146.783,8119021.129
"609",609,339147.7224,8119020.19
"610",610,339147.7224,8119020.19
"611",611,339148.6618,8119019.25
"612",612,339148.6618,8119019.25
"613",613,339149.6012,8119018.311
"614",614,339149.6012,8119018.311
"615",615,339150.5405,8119017.372
"616",616,339150.5405,8119017.372
"617",617,339151.4799,8119016.432
"618",618,339151.4799,8119016.432
"619",619,339152.4193,8119015.493
"620",620,339152.4193,8119015.493
"621",621,339153.3587,8119014.553
"622",622,339153.3587,8119014.553
"623",623,339154.298,8119013.614
"624",624,339154.298,8119013.614
"625",625,339155.2374,8119012.675
"626",626,339155.2374,8119012.675
"627",627,339156.1768,8119011.735
"628",628,339156.1768,8119011.735
"629",629,339157.1162,8119010.796
"630",630,339157.1162,8119010.796
"631",631,339158.0555,8119009.857
"632",632,339158.0555,8119009.857
"633",633,339158.9949,8119008.917
"634",634,339158.9949,8119008.917
"635",635,339159.9343,8119007.978
"636",636,339159.9343,8119007.978
"637",637,339160.8737,8119007.038
"638",638,339160.8737,8119007.038
"639",639,339161.813,8119006.099
"640",640,339161.813,8119006.099
"641",641,339162.7524,8119005.16
"642",642,339162.7524,8119005.16
"643",643,339163.6918,8119004.22
"644",644,339163.6918,8119004.22
"645",645,339164.6312,8119003.281
"646",646,339164.6312,8119003.281
"647",647,339165.5706,8119002.341
"648",648,339165.5706,8119002.341
"649",649,339166.5099,8119001.402
"650",650,339166.5099,8119001.402
"651",651,339167.4493,8119000.463
"652",652,339167.4493,8119000.463
"653",653,339168.3887,8118999.523
"654",654,339168.3887,8118999.523
"655",655,339169.3281,8118998.584
"656",656,339169.3281,8118998.584
"657",657,339170.2674,8118997.645
"658",658,339170.2674,8118997.645
"659",659,339171.2068,8118996.705
"660",660,339171.2068,8118996.705
"661",661,339172.1462,8118995.766
"662",662,339172.1462,8118995.766
"663",663,339173.0856,8118994.826
"664",664,339173.0856,8118994.826
"665",665,339174.0249,8118993.887
"666",666,339174.0249,8118993.887
"667",667,339174.9643,8118992.948
"668",668,339174.9643,8118992.948
"669",669,339175.9037,8118992.008
"670",670,339175.9037,8118992.008
"671",671,339176.8431,8118991.069
"672",672,339176.8431,8118991.069
"673",673,339177.7824,8118990.13
"674",674,339177.7824,8118990.13
"675",675,339181.54,8118989.19
"676",676,339181.54,8118989.19
"677",677,339185.2975,8118988.251
"678",678,339185.2975,8118988.251
"679",679,339189.055,8118987.311
"680",680,339189.055,8118987.311
"681",681,339192.8125,8118986.372
"682",682,339192.8125,8118986.372
"683",683,339196.57,8118985.433
"684",684,339196.57,8118985.433
"685",685,339200.3275,8118984.493
"686",686,339200.3275,8118984.493
